Channel	X	Y
Start Time	9/18/2019  16:29:09.	9/18/2019  16:29:09.
Chart History (Refresh Period)	3.829480E-5	3.829480E-5

Time	X	Y
9/18/2019  16:29:09.	1.937600E-2	1.684791E+0
9/18/2019  16:29:09.	2.179174E-2	1.747117E+0
9/18/2019  16:29:09.	2.372433E-2	1.811698E+0
9/18/2019  16:29:09.	2.372433E-2	1.873059E+0
9/18/2019  16:29:09.	2.887791E-2	1.933452E+0
9/18/2019  16:29:09.	2.920001E-2	1.998678E+0
9/18/2019  16:29:09.	2.710637E-2	2.063420E+0
9/18/2019  16:29:09.	3.209890E-2	2.122042E+0
9/18/2019  16:29:09.	3.000526E-2	2.180665E+0
9/18/2019  16:29:09.	3.435360E-2	2.242025E+0
9/18/2019  16:29:09.	3.306520E-2	2.303869E+0
9/18/2019  16:29:09.	3.225995E-2	2.365390E+0
9/18/2019  16:29:09.	3.725249E-2	2.426106E+0
9/18/2019  16:29:09.	3.435360E-2	2.482635E+0
9/18/2019  16:29:09.	3.821878E-2	2.538197E+0
9/18/2019  16:29:09.	3.902403E-2	2.598108E+0
9/18/2019  16:29:09.	4.305027E-2	2.654154E+0
9/18/2019  16:29:09.	4.562706E-2	2.710200E+0
9/18/2019  16:29:09.	4.337236E-2	2.770433E+0
9/18/2019  16:29:09.	4.643230E-2	2.822936E+0
9/18/2019  16:29:09.	4.917014E-2	2.874311E+0
9/18/2019  16:29:09.	5.496792E-2	2.931968E+0
9/18/2019  16:29:09.	5.255218E-2	2.984631E+0
9/18/2019  16:29:09.	5.400163E-2	3.039389E+0
9/18/2019  16:29:09.	5.561212E-2	3.089798E+0
9/18/2019  16:29:09.	5.770576E-2	3.142301E+0
9/18/2019  16:29:09.	5.883311E-2	3.193515E+0
9/18/2019  16:29:09.	5.834996E-2	3.242314E+0
9/18/2019  16:29:09.	6.253725E-2	3.294173E+0
9/18/2019  16:29:09.	6.140990E-2	3.344904E+0
9/18/2019  16:29:09.	6.591929E-2	3.393059E+0
9/18/2019  16:29:09.	6.720768E-2	3.437348E+0
9/18/2019  16:29:09.	6.785188E-2	3.483731E+0
9/18/2019  16:29:09.	7.445491E-2	3.531402E+0
9/18/2019  16:29:09.	7.091182E-2	3.576497E+0
9/18/2019  16:29:09.	7.364966E-2	3.621753E+0
9/18/2019  16:29:09.	7.703170E-2	3.665398E+0
9/18/2019  16:29:09.	7.107287E-2	3.709204E+0
9/18/2019  16:29:09.	7.993059E-2	3.751722E+0
9/18/2019  16:29:09.	7.767590E-2	3.794240E+0
9/18/2019  16:29:09.	7.880324E-2	3.834503E+0
9/18/2019  16:29:09.	8.138003E-2	3.874444E+0
9/18/2019  16:29:09.	8.089688E-2	3.914063E+0
9/18/2019  16:29:09.	8.379577E-2	3.952877E+0
